src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
100.121.79.73,100.123.225.126,17714,80,6,2026-05-07 10:00:19,2226319.0,4806.139641264347,11.229298227253146,6.288407007261762,4.940891219991385,14,11,1102,9598,145.0,66.0,78.71428571428571,27.290575483197156,2522.0,66.0,872.5454545454545,1090.3703594014087,2522,66,428.0,823.8991200383698,678809.76,280,220,20,2,92763.29166666667,520876.0,3.0,153149.56474485956,2226319.0,644913.0,5.0,171255.3076923077,211564.73856932143,2035374.0,779491.0,3.0,203537.4,249439.72762380895,0,0,0,0,1,0,0,0,0,0,0,0.7857142857142857,428.0,64480,508,520848.0,13.0,246151.0,184805.52818880408,520804.0,47422.0,273423.28571428574,158682.60374337042,0.0,0.0,8840.0,6.0,0.0,19865.213180254337,78.71428571428571,872.5454545454545,0,14,11,1102,9598
100.121.79.73,100.123.225.126,17720,80,6,2026-05-07 10:00:19,2430118.0,4403.078369033932,10.28756628278956,5.761037118362154,4.526529164427407,14,11,1102,9598,145.0,66.0,78.71428571428571,27.290575483197156,2522.0,66.0,872.5454545454545,1090.3703594014087,2522,66,428.0,823.8991200383698,678809.76,280,220,20,2,101254.91666666667,700224.0,3.0,174464.59350393436,2430118.0,701692.0,8.0,186932.15384615384,261187.71216085658,2348714.0,857441.0,3.0,234871.4,257313.94726139505,0,0,0,0,1,0,0,0,0,0,0,0.7857142857142857,428.0,64480,508,700182.0,11.0,284689.5714285714,222491.60057009995,698756.0,10071.0,259274.75,197072.73068194266,0.0,0.0,8835.0,5.0,0.0,144836065.5737705,78.71428571428571,872.5454545454545,0,14,11,1102,9598
100.121.79.73,100.123.225.126,17736,80,6,2026-05-07 10:00:19,2509887.0,4179.47102797855,8.765334853720507,4.781091738393004,3.984243115327503,12,10,970,9520,145.0,66.0,80.83333333333333,28.939112326092904,2522.0,66.0,952.0,1112.814000630833,2522,66,476.8181818181818,866.8969025607495,751510.2396694216,240,200,20,2,119518.42857142857,553113.0,3.0,175535.78708236633,2509887.0,711958.0,42.0,228171.54545454544,269663.6492435324,1808301.0,553113.0,3.0,200922.33333333334,218213.69386808784,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,476.8181818181818,64480,508,552628.0,638.0,229479.5,182865.07857684765,553004.0,32465.0,236889.875,194014.6395709854,0.0,0.0,8835.0,5.0,0.0,17155339.80582524,80.83333333333333,952.0,0,12,10,970,9520
100.121.79.73,100.123.225.126,17740,80,6,2026-05-07 10:00:19,2542849.0,4125.294109087878,8.651713098182393,4.719116235372215,3.9325968628101786,12,10,970,9520,145.0,66.0,80.83333333333333,28.939112326092904,2522.0,66.0,952.0,1112.814000630833,2522,66,476.8181818181818,866.8969025607495,751510.2396694216,240,200,20,2,121088.04761904762,568062.0,3.0,185255.42821877458,2542849.0,785360.0,8.0,231168.0909090909,298092.82572088926,1895889.0,568062.0,3.0,210654.33333333334,209883.21147935794,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,476.8181818181818,64480,508,567975.0,22.0,216251.2857142857,194650.1125607647,568031.0,9417.0,255870.625,207156.77248942255,0.0,0.0,8835.0,5.0,0.0,84142857.14285715,80.83333333333333,952.0,0,12,10,970,9520
100.121.79.73,100.123.225.126,17748,80,6,2026-05-07 10:00:19,2683928.0,3908.4505992709196,8.196941199614892,4.471058836153578,3.725882363461315,12,10,970,9520,145.0,66.0,80.83333333333333,28.939112326092904,2522.0,66.0,952.0,1112.814000630833,2522,66,476.8181818181818,866.8969025607495,751510.2396694216,240,200,20,2,127806.09523809524,660807.0,3.0,203804.41214110501,2683928.0,849609.0,32.0,243993.45454545456,313748.40687617654,1953475.0,660807.0,3.0,217052.77777777778,236073.03039656454,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,476.8181818181818,64480,508,660386.0,340.0,220818.14285714287,237919.66695830555,660794.0,6432.0,296092.0,242897.21768388254,0.0,0.0,8835.0,5.0,0.0,20171232.87671233,80.83333333333333,952.0,0,12,10,970,9520
100.121.79.73,100.123.225.126,17762,80,6,2026-05-07 10:00:19,2482108.0,4165.813896897314,8.460550467586422,4.834600267192241,3.625950200394181,12,9,886,9454,145.0,54.0,73.83333333333333,32.498290553333554,2522.0,66.0,1050.4444444444443,1130.9451417200778,2522,54,492.3809523809524,884.4989152428395,782338.3310657598,240,180,20,2,124105.4,712364.0,3.0,207214.2322588871,2482108.0,957069.0,14.0,225646.18181818182,325824.5803621156,1565792.0,712364.0,3.0,195724.0,258556.28370192437,0,0,0,0,1,0,0,0,0,0,0,0.75,492.3809523809524,64480,508,712324.0,100.0,273467.5,257580.69123529037,712353.0,72804.0,328195.0,225638.24809637218,0.0,0.0,8835.0,5.0,0.0,157767857.14285713,73.83333333333333,1050.4444444444443,0,12,9,886,9454
100.121.79.73,100.123.225.126,17766,80,6,2026-05-07 10:00:19,3016140.0,3893.055362151624,7.9571903160993855,4.310144754553834,3.6470455615455517,13,11,928,10814,145.0,54.0,71.38461538461539,32.01090790421401,2522.0,66.0,983.0909090909091,1065.572014932949,2522,54,489.25,852.8339643994799,727325.7708333334,260,220,20,2,131136.52173913043,791117.0,3.0,205453.59679792915,3016140.0,928414.0,50.0,251345.0,295592.69237302424,2185894.0,791147.0,3.0,218589.4,266223.78879476566,0,0,0,0,1,0,0,0,0,0,0,0.8461538461538461,489.25,64480,508,791087.0,839.0,340871.3333333333,279643.42035329365,791066.0,21198.0,294206.875,255376.00179707445,0.0,0.0,10068.0,7.0,0.0,10802.946023897815,71.38461538461539,983.0909090909091,0,13,11,928,10814
100.121.79.73,100.123.225.126,17768,80,6,2026-05-07 10:00:19,10962860.0,1844.2267802380038,3.375031697932839,1.915558531259179,1.45947316667366,21,16,1476,18742,145.0,54.0,70.28571428571429,25.101968917545392,2522.0,66.0,1171.375,1143.3782114309333,2522,54,546.4324324324324,929.1107792019305,863246.8400292185,420,320,20,2,304523.8888888889,7446042.0,3.0,1227105.7968970179,10962860.0,7446042.0,24.0,548143.0,1624154.0796561758,10678969.0,8279168.0,3.0,711931.2666666667,2044220.3758538843,0,0,0,0,1,0,0,0,0,0,0,0.7619047619047619,546.4324324324324,64480,508,7445996.0,80.0,1015474.5,2166457.4670923613,7016231.0,8029.0,869866.3333333334,1875581.6955687078,0.0,0.0,8835.0,5.0,0.0,13665893.271461718,70.28571428571429,1171.375,0,21,16,1476,18742
100.121.79.73,100.123.225.126,17778,80,6,2026-05-07 10:00:19,2936786.0,3420.7463533263913,6.129149348982186,3.4050829716567703,2.7240663773254163,10,8,675,9371,145.0,54.0,67.5,26.7329384841996,2522.0,66.0,1171.375,1143.3782114309333,2522,54,558.1111111111111,939.3079538142778,882299.4320987654,200,160,20,1,172752.11764705883,1370857.0,2.0,332825.99129254994,2936786.0,1644949.0,7.0,326309.55555555556,499832.19599650777,2043481.0,1370857.0,2.0,291925.85714285716,457404.35402057506,0,0,0,0,1,0,0,0,0,0,0,0.8,558.1111111111111,64480,508,1370855.0,15.0,453547.2,485293.3476281743,1370842.0,60712.0,443132.3333333333,432455.10532449756,0.0,0.0,8835.0,5.0,0.0,64683.573959645066,67.5,1171.375,0,10,8,675,9371
100.121.79.73,100.123.225.126,17792,80,6,2026-05-07 10:00:19,2858026.0,3515.0135093242675,6.298053271733707,3.4989184842965035,2.799134787437203,10,8,675,9371,145.0,54.0,67.5,26.7329384841996,2522.0,66.0,1171.375,1143.3782114309333,2522,54,558.1111111111111,939.3079538142778,882299.4320987654,200,160,20,1,168119.17647058822,937896.0,2.0,284659.6073536489,2858026.0,1648457.0,10.0,317558.44444444444,504685.0545635391,2025389.0,937896.0,2.0,289341.28571428574,368419.8516908642,0,0,0,0,1,0,0,0,0,0,0,0.8,558.1111111111111,64480,508,937813.0,191.0,461994.8,324582.73603160103,937855.0,7128.0,400449.85714285716,317969.328968974,0.0,0.0,8835.0,5.0,0.0,89242424.24242425,67.5,1171.375,0,10,8,675,9371
